Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
in build up task Track trends,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Track trends thorough,Project,x,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
create new cast called Track trends,Project,x,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
review Track trends task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",review
create hot Track trends project,Project,x,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends see is on target,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create new Track trends plan,Project,x,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
jeopardy Track trends project,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
assign on target to Track trends cast,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends task in progress,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",in progress
attribute Track trends task in review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends job in progress,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
delegate Track trends at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
Track trends chore in progress,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
assign Track trends task in recap,Task,x,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends project is on mark,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create new design Track trends,Project,x,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
attribute task Track trends in review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
get on task Track trends,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Track trends danger,Project,x,Danger,"[0,1]","[0,0,0,1,0]",danger
task Track trends is in build,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
designate danger to Track trends project,Project,x,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
Track trends radical task,Task,x,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
Track trends is on objective,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
survey Track trends,Task,x,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
plan Track trends is complete,Project,x,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
task Track trends is closed,Task,x,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
Track trends plan risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
Track trends project is sound,Project,x,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
create labor called Track trends,Task,x,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
start on Track trends project,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Track trends project on schedule,Project,x,On Target,"[0,1]","[0,1,0,0,0]",on schedule
chore Track trends is complete,Task,x,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
created new labor called Track trends,Task,x,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
assign Track trends on objective,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
in recap Track trends task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
create Track trends job,Task,x,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
project Track trends is at jeopardy,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
ascribe Track trends project on target,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends throw was completed,Project,x,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
start on Track trends task,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",start
cast Track trends is on track,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
in progress Track trends labor,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Track trends is in progress,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",in progress
Track trends back on lead,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create new throw Track trends,Project,x,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends is stake on track,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
plan Track trends on target,Project,x,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign at risk to Track trends,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",assign
job with task Track trends,Task,x,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
Track trends chore is completed,Task,x,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
started on Track trends taTrack trends,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
create new Track trends task,Task,x,To Do,"[1,0]","[1,0,0,0,0]",create
